"","AbsoluteCS","Acceleration.forward","Acceleration.side","Acceleration.up","Rotation.roll","Rotation.pitch","Rotation.yaw","imuRotation.pitch","imuRotation.roll","imuRotation.yaw","RawPlayerLoad","SmoothedPlayerLoad"
"49",167277493656,-0.780208,-0.160688,0.57111996,-14.03,-2.0740001,23.668001,2.6858802,8.64559,26.064468,0.0053710938,0.040710002
"50",167277493657,-0.79134,-0.160204,0.55708396,-12.627,-1.952,23.241001,2.6018984,9.290338,24.704563,0.009277344,0.04006467
"51",167277493658,-0.783112,-0.155848,0.54934,-11.407001,-1.891,22.936,2.4869266,9.914093,23.564413,0.008300781,0.039450668
"52",167277493659,-0.77875596,-0.159236,0.547404,-9.943,-1.891,22.997,2.3489854,10.9771385,22.478563,0.0053710938,0.038868
"53",167277493660,-0.78165996,-0.1573,0.5324,-8.723001,-2.196,22.814001,1.8888593,11.7106695,21.463554,0.009765625,0.038319334
"54",167277493661,-0.785048,-0.164076,0.53191596,-7.686,-2.196,22.875,1.7865152,12.482347,20.692076,0.0053710938,0.037806
"55",167277493662,-0.782144,-0.16310799,0.52514,-6.527,-2.135,22.936,1.7317728,13.326902,19.814507,0.005859375,0.037328668
"56",167277493663,-0.780692,-0.164076,0.538208,-5.612,-2.196,22.936,1.5636815,13.962629,19.10437,0.00390625,0.036888
"57",167277493664,-0.78698397,-0.159236,0.558052,-4.636,-2.0740001,23.241001,1.6079464,14.853695,18.512709,0.012207031,0.036484
"58",167277493665,-0.780208,-0.155848,0.57402396,-4.026,-1.891,23.485,1.7228293,15.446539,18.159466,0.013671875,0.036117334
"59",167277493666,-0.7865,-0.13793999,0.57402396,-3.05,-1.281,23.607,2.2054136,16.160942,17.383732,0.012207031,0.035788666
"60",167277493667,-0.79569596,-0.126808,0.576444,-2.0740001,-0.85400003,23.424,2.464412,16.648224,16.446217,0.012207031,0.035499334
"61",167277493668,-0.80344,-0.121,0.576444,-1.403,-0.366,23.058,2.77962,16.801048,15.613209,0.010253906,0.035247333
"62",167277493669,-0.80973196,-0.105996,0.5687,-0.366,-0.183,22.448,2.7380762,17.017399,14.38719,0.013183594,0.03503
"63",167277493670,-0.80101997,-0.09922,0.566764,0.122,-0.305,21.533,2.395929,16.662163,13.431669,0.0087890625,0.034848668
"64",167277493671,-0.800536,-0.09196,0.5566,0.488,-0.244,20.496,2.237543,16.120481,12.470254,0.009765625,0.034705333
"65",167277493672,-0.79811597,-0.088571995,0.546436,0.976,-0.42700002,19.52,1.8468604,15.711612,11.484758,0.0087890625,0.034602
"66",167277493673,-0.80150396,-0.0968,0.545468,1.83,-0.61,18.178,1.4054508,15.248239,9.983818,0.00390625,0.03454133
"67",167277493674,-0.79569596,-0.107448,0.55127597,2.6230001,-0.85400003,17.324,0.9769199,15.116531,8.84684,0.0063476562,0.03452733
"68",167277493675,-0.800536,-0.103576,0.557568,3.2940001,-0.976,16.409,0.67489755,14.848974,7.7531176,0.0029296875,0.034562
